timestamp,price_open,price_high,price_low,price_close,price_volume,volume_obv,volume_obv_sma_20,volume_obv_sma_50,volume_obv_trend,return,volatility,momentum,return_ts_neutral,volatility_ts_neutral,momentum_ts_neutral
2009-03-12,92.9703,96.58,92.0,96.35,27444900,60690959480.0,59549360537.8,59293425495.14,Up,0.03959861890375471,0.03311499737822059,-0.004854368932038833,0.7522027940580918,1.4847729559979486,0.13040266156158942
2009-03-13,96.3,97.2,95.01,95.93,21470300,60089790479.0,59495454184.1,59271948913.82,Down,-0.004359107420861319,0.03259517378832412,-0.033645612974715355,-0.0720428785884708,1.2986877072264567,-0.1836275761121046
2009-03-16,96.45,97.39,94.18,95.42,28473000,59292545682.0,59432134500.95,59246678272.7,Down,-0.005316376524549193,0.03260807537336919,-0.03771682129891085,-0.055771952674643945,1.154076209939917,-0.15566715253652755
2009-03-17,95.26,99.69,95.07,99.66,28094500,60079192468.0,59442059111.0,59222220248.38,Up,0.04443512890379364,0.03231430029121684,0.0542684861948588,0.7987396399892513,1.0609527826321516,1.4817553470429974
2009-03-18,99.91,103.48,99.72,101.52,28429900,60875230464.0,59526024615.05,59190050792.36,Up,0.01866345574954842,0.03247432577109809,0.07576560347568084,0.27835635811991394,0.9253136204662342,1.8644236717001932
2009-03-19,101.91,103.2,100.25,101.62,17863600,61375411764.0,59681139450.2,59193671196.12,Up,0.0009850275807723463,0.03082806485449303,0.12113857016769636,-0.042515314829662976,0.4909512584386947,2.6721039258452444
2009-03-20,102.09,103.11,100.57,101.59,24842400,60679823869.0,59763959053.1,59198440833.04,Down,-0.00029521747687466515,0.03086206291403882,0.11392543859649118,-0.029116230680329615,0.40976264108182026,2.5437035948693576
2009-03-23,102.71,108.16,101.75,107.66,23799900,61346221735.0,59919447688.6,59203068397.82,Up,0.05974997539127869,0.030507845550597806,0.23818286371477848,1.2261671719680438,0.15738505244699988,3.0
2009-03-24,106.36,109.44,105.3872,106.83,22879000,60705609095.0,60002550371.75,59205820632.72,Down,-0.007709455693850953,0.030104356988032453,0.18371191135734066,-0.20505091676603104,-0.05473844458763672,1.9236280932325742
2009-03-25,107.58,108.36,103.86,106.49,23093500,60058990449.0,60011669420.95,59207994835.04,Down,-0.0031826266030141603,0.030222641685170436,0.16816586222027197,-0.08150409169236969,-0.038691594836339986,1.4471302806430169
2009-03-26,107.83,109.98,107.58,109.87,22009000,60675243065.0,60083094552.4,59238462057.64,Up,0.031740069490093115,0.029801846952536,0.23186455880704115,0.7717146319591975,-0.1616147965924078,1.6052452262239363
2009-03-27,108.23,108.53,106.4,106.85,17602600,60182369773.0,60094543063.95,59279505114.82,Down,-0.027487030126513212,0.03096291888004883,0.19639458067405657,-0.6424470766160454,0.08790836872141507,1.2001795926300616
2009-03-30,104.51,105.01,102.61,104.49,17957000,59679573271.0,60119398268.9,59347124958.58,Down,-0.022087037903603224,0.031282397974374716,0.18819649761200807,-0.49839283699774645,0.17777806181418068,0.7678197690584289
2009-03-31,105.45,107.45,105.0,105.12,20360000,60249653841.0,60136540446.15,59447098946.68,Up,0.00602928509905265,0.03127532942567945,0.18954396288333153,0.12629553774557234,0.18711715795417094,0.5517180589406476
2009-04-01,104.09,109.0,103.89,108.69,21049000,60839026430.0,60146081035.8,59577258700.94,Up,0.03396118721461172,0.031365569010527665,0.19216847647252377,0.7202296069708246,0.17159131870265312,0.4242355400403912
