,SMA_20
2022-07-01,1.3305921529484275
2022-07-05,1.327684924944475
2022-07-06,1.3252333995235017
2022-07-07,1.3234368500184022
2022-07-08,1.3227370762214892
2022-07-11,1.3244347614374
2022-07-12,1.3310802953762968
2022-07-13,1.34143941917784
2022-07-14,1.3533989086606242
2022-07-15,1.3646184607290126
2022-07-18,1.377566593103683
2022-07-19,1.3923637966370837
2022-07-20,1.405433964618721
2022-07-21,1.420657520399248
2022-07-22,1.4327004266260348
2022-07-25,1.4412938960128505
2022-07-26,1.448860103644816
2022-07-27,1.4635893379793996
2022-07-28,1.4773824510757292
2022-07-29,1.4970131914977414
2022-08-01,1.5142016750258918
2022-08-02,1.5282450383542296
2022-08-03,1.545912395783137
2022-08-04,1.5607250468617235
2022-08-05,1.5748379241433972
2022-08-08,1.5902375819390409
2022-08-09,1.6049204736380673
2022-08-10,1.6231779272930698
2022-08-11,1.6385945773884179
2022-08-12,1.6554710205038166
2022-08-15,1.6755358369455478
2022-08-16,1.6924879730323565
2022-08-17,1.7090461967169295
2022-08-18,1.7235421731192089
2022-08-19,1.7369908059578962
2022-08-22,1.7482968642793244
2022-08-23,1.7603722103510016
2022-08-24,1.7687246980329203
2022-08-25,1.7785570605436307
2022-08-26,1.77957505377137
2022-08-29,1.779646112479224
2022-08-30,1.7789772337726826
2022-08-31,1.7723610501696387
2022-09-01,1.766552773179808
2022-09-02,1.75928161366089
2022-09-06,1.7514002761071357
2022-09-07,1.7445693716260102
2022-09-08,1.733303476922065
2022-09-09,1.7248274088786608
2022-09-12,1.71821894904821
2022-09-13,1.7034696329048848
2022-09-14,1.6899622993944914
2022-09-15,1.6730549611887215
2022-09-16,1.655180606654325
2022-09-19,1.6421907659076533
2022-09-20,1.634057633367372
2022-09-21,1.6237602997465714
2022-09-22,1.612486681270033
2022-09-23,1.597545815566405
2022-09-26,1.58775052716414
2022-09-27,1.580417577464479
2022-09-28,1.5735048009938697
2022-09-29,1.5622682566257768
2022-09-30,1.5472069000697004
2022-10-03,1.5370223335287554
2022-10-04,1.5305976994860147
2022-10-05,1.5233095476673921
2022-10-06,1.5164261215326351
2022-10-07,1.5032555445072906
2022-10-10,1.4857148569489058
2022-10-11,1.4743887168187364
2022-10-12,1.4614529424802147
2022-10-13,1.4543022738137452
2022-10-14,1.4449117110953462
2022-10-17,1.4357111531827313
2022-10-18,1.4256872411117179
2022-10-19,1.418172010378865
2022-10-20,1.411044513030174
2022-10-21,1.4086362407357205
2022-10-24,1.4076290607896118
2022-10-25,1.4080724053364417
2022-10-26,1.4076985747429474
2022-10-27,1.4094673186667126
2022-10-28,1.4228371690249528
2022-10-31,1.4311371350532398
2022-11-01,1.4346066537019526
2022-11-02,1.433562399647398
2022-11-03,1.4285697530433732
2022-11-04,1.4274405374902974
2022-11-07,1.4264735211616713
2022-11-08,1.4270466250880611
2022-11-09,1.4245719283493092
2022-11-10,1.427715503794603
2022-11-11,1.4365345073411304
2022-11-14,1.4411965764781807
2022-11-15,1.4461814993096125
2022-11-16,1.4501283471045636
2022-11-17,1.4559057290040227
2022-11-18,1.4591620715291724
2022-11-21,1.4582522111177336
2022-11-22,1.4567955076067203
2022-11-23,1.4582985537532906
2022-11-25,1.4610095979333844
2022-11-28,1.4524099495284946
2022-11-29,1.4433128901686243
2022-11-30,1.4415024378728576
2022-12-01,1.4441918554896915
2022-12-02,1.4511849591952668
2022-12-05,1.4574844681220034
2022-12-06,1.4605307240326275
2022-12-07,1.4616305892498507
2022-12-08,1.4675701703737596
2022-12-09,1.463973981854524
2022-12-12,1.4599962389692014
2022-12-13,1.4578505749429047
2022-12-14,1.452635483688206
2022-12-15,1.4432526447424
2022-12-16,1.4308760715396014
2022-12-19,1.416429527281916
2022-12-20,1.4044345084452048
2022-12-21,1.3931886955500008
2022-12-22,1.3788039414730588
2022-12-23,1.3663964731798888
2022-12-27,1.3555615649866248
2022-12-28,1.344009890696744
2022-12-29,1.329944900805146
2022-12-30,1.3159123507584383
2023-01-03,1.2985493099696894
2023-01-04,1.2830724144481167
2023-01-05,1.2694136949949035
2023-01-06,1.2607707934634935
2023-01-09,1.251225755293237
2023-01-10,1.2424994370178242
2023-01-11,1.2341006067003484
2023-01-12,1.2248923250151407
2023-01-13,1.2184398853910656
2023-01-17,1.2180135331439401
2023-01-18,1.2185480182073658
2023-01-19,1.2207616514324795
2023-01-20,1.225014360622108
2023-01-23,1.2293365837650723
2023-01-24,1.2372009290191224
2023-01-25,1.2448351058499052
2023-01-26,1.2554707407102728
2023-01-27,1.270657222382354
2023-01-30,1.2808819525407817
2023-01-31,1.291845075359087
2023-02-01,1.3073914848339956
2023-02-02,1.3260675669635307
2023-02-03,1.3485761850536429
2023-02-06,1.365457262432597
2023-02-07,1.384162694897985
2023-02-08,1.400342453725508
2023-02-09,1.413611895040041
2023-02-10,1.4272258166122158
2023-02-13,1.441981311773615
2023-02-14,1.4553372593411882
2023-02-15,1.4708805793070594
