Timestamp,price_close,price_volume,RSI,bbands_middle,reportedEPS,atr,volume_nasdaq,close_nasdaq,obv,CPI,GDP,SMA_50,weekday
1/29/2007,85.94,32202300,45.4369,2.6661,0.020927417,0.0819,1267300,33.72,48146843337,204.115619,14274.31748,2.6469,Monday
1/30/2007,85.55,20641800,44.6052,2.6732,0.021018192,0.0787,1444600,33.48,47568872360,204.1517125,14276.44852,2.6472,Tuesday
1/31/2007,85.73,30573900,45.1046,2.6745,0.021110796,0.0766,1016100,34,48424942416,204.1885099,14278.58045,2.6482,Wednesday
2/1/2007,84.74,23726500,42.8182,2.6759,0.021205175,0.0744,1819000,33.83,47760599752,204.226,14280.71309,2.6477,Thursday
2/2/2007,84.75,22197500,42.8497,2.6746,0.021301276,0.0724,2165800,33.54,48382130373,204.2641612,14282.8463,2.647,Friday
2/5/2007,83.94,20673300,40.8842,2.6729,0.021599388,0.07,1550800,33.67,47803277395,204.3820095,14289.24768,2.6455,Monday
2/6/2007,84.15,30871200,41.6317,2.6709,0.02170185,0.0685,2116000,34.24,48667671859,204.422173,14291.38153,2.6428,Tuesday
2/7/2007,86.15,38100900,48.3326,2.6612,0.021805771,0.0697,2603300,35,49734498125,204.4626565,14293.51514,2.6403,Wednesday
2/8/2007,86.18,24251100,48.4282,2.645,0.021911097,0.0671,2148850,34.105,50413529604,204.5033878,14295.64836,2.637,Thursday
2/9/2007,83.27,30733600,40.5812,2.6261,0.022017774,0.0687,2148850,34.105,49552987944,204.5442944,14297.78103,2.6333,Friday
2/12/2007,84.88,25859700,45.8126,2.6115,0.02234539,0.0679,2148850,35.1,50277060268,204.6673446,14304.1741,2.6291,Monday
2/13/2007,84.7,20749500,45.3321,2.5928,0.022456947,0.0652,2148850,34.08,49696073688,204.7082305,14306.30295,2.6248,Tuesday
2/14/2007,85.3,18142200,47.3159,2.5783,0.022569591,0.0628,2194100,34.035,50204055795,204.7489306,14308.43046,2.621,Wednesday
2/15/2007,85.21,12987900,47.0401,2.5725,0.022683269,0.0601,3109100,33.96,49840394232,204.7893726,14310.55645,2.6173,Thursday
2/16/2007,84.83,14281000,45.8258,2.567,0.022797929,0.0575,3099800,33.875,49440525833,204.8294843,14312.68078,2.6135,Friday
2/19/2007,84.83,14281000,45.8258,2.567,0.023147269,0.0575,3099800,33.875,49440525833,204.9471148,14319.04214,2.6135,Monday
2/20/2007,85.9,22060800,49.7587,2.5656,0.023265325,0.0577,2518600,32.75,50058228850,204.9851826,14321.1582,2.6103,Tuesday
2/21/2007,89.2,41261200,59.5194,2.5709,0.023384099,0.0613,3185500,33.12,51213543605,205.0225588,14323.27179,2.6099,Wednesday
2/22/2007,89.51,29936600,60.2997,2.5751,0.023503537,0.0618,3320300,32.58,52051769243,205.0591712,14325.38275,2.6114,Thursday
2/23/2007,89.07,18496200,58.5739,2.5794,0.023623585,0.0606,3026100,32.31,51533875126,205.0949474,14327.49094,2.6119,Friday
2/26/2007,88.65,21994600,56.8999,2.5843,0.023986868,0.0614,2057200,31.8,50918025711,205.1965368,14333.79719,2.6118,Monday
2/27/2007,83.93,40921900,42.277,2.5813,0.024108831,0.0683,3564500,30.3,49772211366,205.228246,14335.89265,2.6105,Tuesday
2/28/2007,84.61,32838400,44.4903,2.5798,0.02423114,0.069,3998600,29.93,50691687485,205.2587578,14337.98453,2.6078,Wednesday
3/1/2007,87.06,50554600,51.6793,2.5818,0.024353744,0.0738,5074200,29.3,52107217700,205.288,14340.07267,2.6069,Thursday
3/2/2007,85.41,30714300,47.2419,2.5828,0.024476587,0.0736,4088900,28.25,51247216440,205.3159249,14342.15691,2.6055,Friday
3/5/2007,86.3199,29960700,49.8016,2.5852,0.024846031,0.0753,4158500,27.51,52086116878,205.3924028,14348.38465,2.606,Monday
3/6/2007,88.19,25828100,54.6697,2.5916,0.024969308,0.0742,4120600,28.65,52809304401,205.4157147,14350.45171,2.6072,Tuesday
